id,domain,keyword,target_id
S0001,industry,工業及服務業,I001
S0002,industry,工及服務,I001
S0003,industry,工業及服務,I001
S0004,industry,工業與服務業,I001
S0005,industry,工業,I002
S0006,industry,工,I002
S0007,industry,礦業及土石採取業,I003
S0008,industry,礦及土石採取,I003
S0009,industry,礦業與土石採取業,I003
S0010,industry,石油及天然氣礦業,I004
S0011,industry,石油及天然氣礦,I004
S0012,industry,石油與天然氣礦業,I004
S0013,industry,砂﹑石採取及其他礦業,I005
S0014,industry,砂﹑石採取及其他礦,I005
S0015,industry,砂﹑石採取與其他礦業,I005
S0016,industry,製造業,I006
S0017,industry,製造,I006
S0018,industry,食品及飼品製造業,I007
S0019,industry,食品及飼品製造,I007
S0020,industry,食品與飼品製造業,I007
S0021,industry,飲料及菸草製造業,I008
S0022,industry,飲料及菸草製造,I008
S0023,industry,飲料與菸草製造業,I008
S0024,industry,紡織業,I009
S0025,industry,紡織,I009
S0026,industry,成衣及服飾品製造業,I010
S0027,industry,成衣及服飾品製造,I010
S0028,industry,成衣與服飾品製造業,I010
S0029,industry,皮革﹑毛皮及其製品製造業,I011
S0030,industry,皮革﹑毛皮及其製品製造,I011
S0031,industry,皮革﹑毛皮與其製品製造業,I011
S0032,industry,木竹製品製造業,I012
S0033,industry,木竹製品製造,I012
S0034,industry,紙漿﹑紙及紙製品製造業,I013
S0035,industry,紙漿﹑紙及紙製品製造,I013
S0036,industry,紙漿﹑紙與紙製品製造業,I013
S0037,industry,印刷及資料儲存媒體複製業,I014
S0038,industry,印刷及資料儲存媒體複製,I014
S0039,industry,印刷與資料儲存媒體複製業,I014
S0040,industry,石油及煤製品製造業,I015
S0041,industry,石油及煤製品製造,I015
S0042,industry,石油與煤製品製造業,I015
S0043,industry,化學材料及肥料製造業,I016
S0044,industry,化學材料及肥料製造,I016
S0045,industry,化學材料與肥料製造業,I016
S0046,industry,其他化學製品製造業,I017
S0047,industry,其他化學製品製造,I017
S0048,industry,藥品及醫用化學製品製造業,I018
S0049,industry,藥品及醫用化學製品製造,I018
S0050,industry,藥品與醫用化學製品製造業,I018
S0051,industry,橡膠製品製造業,I019
S0052,industry,橡膠製品製造,I019
S0053,industry,塑膠製品製造業,I020
S0054,industry,塑膠製品製造,I020
S0055,industry,非金屬礦物製品製造業,I021
S0056,industry,非金屬礦物製品製造,I021
S0057,industry,基本金屬製造業,I022
S0058,industry,基本金屬製造,I022
S0059,industry,金屬製品製造業,I023
S0060,industry,金屬製品製造,I023
S0061,industry,電子零組件製造業,I024
S0062,industry,電子零組件製造,I024
