id,domain,name,parent_id,adapter_id
I001,industry,工業及服務業,,earnings
I002,industry,工業,I001,earnings
I003,industry,礦業及土石採取業,I002,earnings
I004,industry,石油及天然氣礦業,I003,earnings
I005,industry,砂﹑石採取及其他礦業,I003,earnings
I006,industry,製造業,I002,earnings
I007,industry,食品及飼品製造業,I006,earnings
I008,industry,飲料及菸草製造業,I006,earnings
I009,industry,紡織業,I006,earnings
I010,industry,成衣及服飾品製造業,I006,earnings
I011,industry,皮革﹑毛皮及其製品製造業,I006,earnings
I012,industry,木竹製品製造業,I006,earnings
I013,industry,紙漿﹑紙及紙製品製造業,I006,earnings
I014,industry,印刷及資料儲存媒體複製業,I006,earnings
I015,industry,石油及煤製品製造業,I006,earnings
I016,industry,化學材料及肥料製造業,I006,earnings
I017,industry,其他化學製品製造業,I006,earnings
I018,industry,藥品及醫用化學製品製造業,I006,earnings
I019,industry,橡膠製品製造業,I006,earnings
I020,industry,塑膠製品製造業,I006,earnings
I021,industry,非金屬礦物製品製造業,I006,earnings
I022,industry,基本金屬製造業,I006,earnings
I023,industry,金屬製品製造業,I006,earnings
I024,industry,電子零組件製造業,I006,earnings
I025,industry,電腦﹑電子產品及光學製品製造業,I006,earnings
I026,industry,電力設備及配備製造業,I006,earnings
I027,industry,機械設備製造業,I006,earnings
I028,industry,汽車及其零件製造業,I006,earnings
I029,industry,其他運輸工具及其零件製造業,I006,earnings
I030,industry,家具製造業,I006,earnings
I031,industry,其他製造業,I006,earnings
I032,industry,產業用機械設備維修及安裝業,I006,earnings
I033,industry,電力及燃氣供應業,I002,earnings
I034,industry,電力供應業,I033,earnings
I035,industry,氣體燃料供應業,I033,earnings
I036,industry,用水供應及污染整治業,I002,earnings
I037,industry,用水供應業,I036,earnings
I038,industry,廢水及污水處理業,I036,earnings
I039,industry,廢棄物清除業,I036,earnings
I040,industry,廢棄物處理業,I036,earnings
I041,industry,資源物回收處理及污染整治業,I036,earnings
I042,industry,營建工程業,I002,earnings
I043,industry,建築工程業,I042,earnings
I044,industry,土木工程業,I042,earnings
I045,industry,機電﹑管道及其他建築設備安裝業,I042,earnings
I046,industry,其他專門營造業,I042,earnings
I047,industry,服務業,I001,earnings
I048,industry,批發及零售業,I047,earnings
I049,industry,批發業,I048,earnings
I050,industry,零售業,I048,earnings
I051,industry,運輸及倉儲業,I047,earnings
I052,industry,鐵路及捷運運輸業,I051,earnings
I053,industry,公共汽車客運業,I051,earnings
I054,industry,其他汽車客運業,I051,earnings
I055,industry,汽車貨運業,I051,earnings
I056,industry,海洋水運業,I051,earnings
I057,industry,航空運輸業,I051,earnings
I058,industry,港埠業,I051,earnings
I059,industry,其他運輸輔助業,I051,earnings
I060,industry,倉儲業,I051,earnings
I061,industry,郵政業,I051,earnings
I062,industry,遞送服務業,I051,earnings
I063,industry,住宿及餐飲業,I047,earnings
I064,industry,住宿業,I063,earnings
I065,industry,餐飲業,I063,earnings
I066,industry,餐館,I065,earnings
I067,industry,其他餐飲業,I065,earnings
I068,industry,出版影音及資通訊業,I047,earnings
I069,industry,出版業,I068,earnings
I070,industry,影片及電視節目業;聲音錄製及音樂發行業,I068,earnings
I071,industry,廣播﹑電視節目編排及傳播業,I068,earnings
I072,industry,電信業,I068,earnings
I073,industry,電腦程式設計﹑諮詢及相關服務業,I068,earnings
I074,industry,資訊服務業,I068,earnings
I075,industry,金融及保險業,I047,earnings
I076,industry,銀行業,I075,earnings
I077,industry,信用合作社,I075,earnings
I078,industry,農會及漁會信用部,I075,earnings
I079,industry,其他金融服務業,I075,earnings
I080,industry,人身保險業,I075,earnings
I081,industry,財產保險業,I075,earnings
I082,industry,其他保險輔助業,I075,earnings
I083,industry,證券期貨及金融輔助業,I075,earnings
I084,industry,不動產業,I047,earnings
I085,industry,不動產開發業,I084,earnings
I086,industry,不動產經營及相關服務業,I084,earnings
I087,industry,專業﹑科學及技術服務業,I047,earnings
I088,industry,法律服務業,I087,earnings
I089,industry,會計服務業,I087,earnings
I090,industry,企業總管理機構及管理顧問業,I087,earnings
I091,industry,建築﹑工程服務及技術檢測﹑分析服務業,I087,earnings
I092,industry,研究發展服務業,I087,earnings
I093,industry,廣告業及市場研究業,I087,earnings
I094,industry,專門設計業,I087,earnings
I095,industry,其他專業﹑科學及技術服務業,I087,earnings
I096,industry,支援服務業,I047,earnings
I097,industry,租賃業,I096,earnings
I098,industry,人力仲介業,I096,earnings
I099,industry,人力供應業,I096,earnings
I100,industry,旅行及其他相關服務業,I096,earnings
I101,industry,保全及偵探業,I096,earnings
I102,industry,建築物及綠化服務業,I096,earnings
I103,industry,行政支援服務業,I096,earnings
I104,industry,教育業（不含小學以上各級公私立學校等）,I047,earnings
I105,industry,學前教育,I104,earnings
I106,industry,教育輔助及其他教育業,I104,earnings
I107,industry,醫療保健及社會工作服務業,I047,earnings
I108,industry,醫療保健業,I107,earnings
I109,industry,社會工作服務業,I107,earnings
I110,industry,藝術﹑娛樂及休閒服務業,I047,earnings
I111,industry,創作及藝術表演業,I110,earnings
I112,industry,運動﹑娛樂及休閒服務業,I110,earnings
I113,industry,其他服務業,I047,earnings
I114,industry,個人及家庭用品維修業,I113,earnings
I115,industry,美髮及美容美體業,I113,earnings
I116,industry,其他個人服務業,I113,earnings
E001,education,國中及以下,,earnings
E002,education,高中職,,earnings
E003,education,專科,,earnings
E004,education,大學,,earnings
E005,education,碩士,,earnings
E006,education,博士,,earnings
G001,gender,男,,earnings
G002,gender,女,,earnings
A001,age,15-24歲,,earnings
A002,age,25-29歲,,earnings
A003,age,30-39歲,,earnings
A004,age,40-49歲,,earnings
A005,age,50-64歲,,earnings
A006,age,65歲以上,,earnings
